sleep_hours,screen_time,study_hours,breaks,noise_level,focus_score
9,2,7,2,Medium,59
6,7,6,4,High,18
4,1,7,1,Medium,43
5,4,2,4,Low,34
5,5,5,1,Medium,23
7,4,3,2,Medium,34
8,1,7,2,Low,73
6,8,5,4,Low,31
4,8,3,4,High,0
7,6,3,1,High,8
8,8,2,3,Low,21
7,6,7,1,Low,41
9,4,4,4,High,39
8,3,1,5,Medium,40
8,7,2,4,Low,28
6,7,2,5,High,7
8,4,4,0,Medium,32
7,2,1,4,Low,48
8,2,5,0,Medium,50
6,8,6,3,High,11
6,7,7,1,Low,28
9,7,6,5,Medium,53
7,6,5,1,Low,37
5,3,8,0,Medium,39
5,1,2,5,High,24
8,2,1,1,High,26
9,7,2,4,Low,34
4,6,3,2,Medium,9
8,5,2,0,Low,27
9,6,2,1,Low,27
7,2,5,0,Medium,41
7,2,5,0,Medium,39
7,6,5,5,Medium,39
7,1,6,5,High,55
7,4,3,2,Low,39
9,2,8,4,Low,84
9,6,8,0,High,34
6,7,5,1,Medium,21
5,6,1,3,High,4
7,3,6,0,High,36
4,4,4,0,High,8
9,5,1,2,Low,39
4,1,7,4,High,45
4,8,7,3,Low,26
4,5,1,5,Low,14
6,4,5,5,Low,50
9,4,4,1,Medium,45
4,4,4,3,Low,28
7,5,6,5,Low,54
8,7,4,1,Medium,28
4,4,7,4,Low,45
6,6,3,1,High,5
9,5,5,5,High,46
6,8,4,2,Low,23
4,4,6,2,Medium,24
9,6,7,2,High,42
8,7,3,5,Medium,28
4,3,2,2,Medium,20
6,7,2,3,High,5
5,8,3,4,Medium,6
7,4,7,1,High,33
6,8,6,1,Medium,19
9,5,3,5,High,34
4,2,5,2,Low,34
7,4,5,2,High,35
4,2,2,0,High,9
9,6,4,4,High,35
4,3,6,3,High,21
5,1,2,1,Medium,27
7,8,4,0,Low,16
7,7,4,0,High,4
9,3,8,5,Medium,70
5,4,5,1,Low,31
6,2,7,5,Low,70
4,7,1,3,Low,7
8,2,7,0,Low,64
4,5,1,0,High,0
4,2,3,4,High,22
6,5,5,3,Medium,33
4,6,4,0,Medium,7
5,7,6,3,Medium,18
5,7,1,1,Low,2
7,1,7,2,Low,65
9,4,4,0,High,33
8,5,1,4,Low,32
4,1,1,1,Low,18
4,2,8,3,Low,57
6,2,1,5,Medium,30
9,1,6,1,Medium,62
5,7,5,0,High,0
8,2,6,3,Low,69
7,8,2,2,Low,13
5,6,4,1,High,10
9,6,5,0,Low,42
7,8,8,4,Low,43
6,1,5,5,Medium,51
6,8,5,3,High,17
4,5,7,1,High,17
9,5,5,1,High,31
8,1,8,2,High,54
7,8,6,2,Medium,25
5,5,5,4,Medium,33
9,7,3,5,Low,46
9,8,4,4,Low,44
6,7,5,0,Low,26
4,5,4,0,Low,19
4,6,3,4,Medium,14
7,5,3,5,High,25
6,7,4,4,Medium,22
9,3,1,5,Low,47
8,4,2,5,Medium,35
6,2,7,3,High,41
7,8,1,5,High,9
7,3,1,2,Medium,22
6,5,6,5,Medium,40
7,6,7,5,Medium,43
6,1,7,5,Low,68
5,5,1,0,Medium,5
6,6,5,2,Medium,20
6,4,6,2,Medium,36
7,5,6,4,High,39
7,7,3,3,High,8
4,1,8,5,Low,66
4,6,7,1,Low,29
5,6,1,3,High,0
4,6,3,3,High,7
6,4,4,2,High,25
7,5,2,3,Medium,24
4,4,8,5,Medium,43
4,8,8,5,High,25
5,2,8,0,Medium,42
9,2,6,5,Medium,70
5,8,4,5,Low,26
6,5,8,2,High,35
7,7,4,5,High,28
5,4,5,0,Medium,18
4,1,8,1,High,39
7,6,2,2,Low,26
7,6,4,1,Low,28
4,5,4,2,Low,20
5,7,2,4,High,7
4,2,8,3,High,40
9,2,2,4,High,40
7,6,4,5,High,27
8,5,2,1,High,15
8,4,4,5,Low,52
6,2,4,3,Medium,44
4,4,5,2,Low,35
4,7,1,3,High,0
6,2,4,0,Low,41
6,2,8,3,High,52
6,3,3,0,High,18
7,2,6,3,Low,55
9,8,7,0,High,30
4,1,1,1,Medium,13
7,8,1,5,High,9
6,5,1,5,Medium,22
4,5,5,4,Medium,24
7,4,4,5,High,34
9,8,5,2,Low,39
7,8,4,3,Medium,22
9,8,8,4,Low,52
6,7,5,2,Medium,24
